Iteration: 1530/5000	 MSE functional: 0.0002	 MSE terminal: 0.0002	 Total Loss: 0.0004
Iteration: 1540/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1550/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1560/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1570/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1580/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1590/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1600/5000	 MSE functional: 0.0002	 MSE terminal: 0.0001	 Total Loss: 0.0003
Iteration: 1610/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 1620/5000	 MSE functional: 0.0003	 MSE terminal: 0.0001	 Total Loss: 0.0004
Iteration: 1630/5000	 MSE functional: 0.0002	 MSE terminal: 0.0001	 Total Loss: 0.0003
Iteration: 1640/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1650/5000	 MSE functional: 0.0002	 MSE terminal: 0.0001	 Total Loss: 0.0003
Iteration: 1660/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 1670/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1680/5000	 MSE functional: 0.0000	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 1690/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 1700/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 1710/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0003
Iteration: 1720/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1730/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1740/5000	 MSE functional: 0.0003	 MSE terminal: 0.0001	 Total Loss: 0.0003
Iteration: 1750/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1760/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1770/5000	 MSE functional: 0.0002	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1780/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 1790/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1800/5000	 MSE functional: 0.0002	 MSE terminal: 0.0001	 Total Loss: 0.0003
Iteration: 1810/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1820/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1830/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1840/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 1850/5000	 MSE functional: 0.0002	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1860/5000	 MSE functional: 0.0002	 MSE terminal: 0.0000	 Total Loss: 0.0002
Iteration: 1870/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
